id,name,tedad_kh_100,tedad_fo_100,tedad_kh_200,tedad_fo_200,tedad_kh_500,tedad_fo_500,akharin_gh,darsad_akarin,darsad_payani,vaziat,signal_tedad,signal_big_m,rsi,buy_power,vorod_pol,hajm_mashkok,hajm_emroz,hajm_diroz,hajm_2roz_ghabl,hajm_3roz_ghabl,miangin_mah,code_gr,pool_gr,group_name,vaziat2,gh_s,darsad_ta_s,taharok,kharid_hoshdar,forosh_hoshdar,tedad_kharidar,seraneh_kharid,kol_kharid,tedad_foroshamdeh,seraneh_forosh,kol_forosh,barayand_saraneh,barayand_kol,emtiaz_sahm,date_now,time,total_kh_big,total_fo_big,total_kh_big1,total_fo_big1,net_big_trades,buy_sell_ratio_100,buy_sell_ratio_200,buy_sell_ratio_500,kh_concentration,fo_concentration,volume_signal,money_flow_signal,rsi_signal,total_signal_score,signal_category
30852391633490755,ثفارس,63,54,20,17,4,1,15580,2.97,2.84,صف خرید,0,0,70,1.25,27361,حجم متوسط0.97برابر,97 %,92 % ,113 % ,42 % ,46424714,70,48213,انبوه سازي، املاك و مستغلات,فروش  متوسط rsi,0,0,تحرک_مثبت,1,2,201,176,35501,104,171,17827,5,17674,6.0,1405-06-04,12:30:52,63,54,20,17,9,1.1454545454545455,1.1111111111111112,2.0,1.609375,1.3818181818181818,3,3,-1,2.0,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ
25286509736208688,فلامي,3,5,3,1,2,0,8380,2.57,2.45,مثبت,0,0,59,1.45,0, حجم کم,73 %,82 % ,67 % ,60 % ,3556247,28,4088,ساخت محصولات فلزي,خرید  متوسط,0,0,تحرک_مثبت,1,0,3,454,1362,5,147,736,307,626,5.0,1405-06-04,10:00:05,3,5,3,1,-2,0.5,1.5,2.0,4.0,1.0,0,0,-1,-0.1,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
53686258677793038,وارس,14,14,8,7,0,0,16570,1.35,1.35,مثبت,0,0,50,0.89,0, حجم کم,41 %,100 % ,119 % ,146 % ,6564500,56,223642,سرمايه گذاريها,خنثی,0,0,تحرک_مثبت,0,2,17,209,3563,14,235,3291,-26,272,5.0,1405-06-04,12:29:42,14,14,8,7,0,0.9333333333333333,1.0,0.0,1.4666666666666666,1.4,0,0,0,0.0,ﯽﺜﻨﺧ
45608932669358493,كايتا,4,3,2,1,1,0,15480,1.18,2.55,مثبت,0,0,59,1.36,619,حجم متوسط1.33برابر,133 %,26 % ,89 % ,189 % ,1142520,54,58599,ساير محصولات كاني غيرفلزي,خرید  قوی,0,0,تحرک_منفی,2,1,8,222,1776,3,235,707,-13,1069,6.0,1405-06-04,12:30:55,4,3,2,1,1,1.0,1.0,1.0,2.2,1.0,1,2,-1,0.9,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
67126881188552864,رمپنا,24,26,14,17,7,7,32700,2.99,2.99,صف خرید,0,0,87,1.1,35166, حجم کم,54 %,84 % ,179 % ,134 % ,77720334,74,37765,خدمات فني و مهندسي,فروش  متوسط,0,0,تحرک_مثبت,0,3,372,283,105631,135,535,72306,-252,33325,1.0,1405-06-04,12:25:58,24,26,14,17,-2,0.8888888888888888,0.7777777777777778,0.875,2.92,2.888888888888889,0,3,-3,0.3999999999999998,ﯽﺜﻨﺧ
38555056423456635,شتوكا,10,2,6,0,2,0,7240,2.99,1.85,صف خرید,2,2,59,2.54,8313,حجم زیاد3.81برابر,381 %,214 % ,149 % ,48 % ,4275859,44,416438,محصولات شيميايي,خرید  قوی,7240,0.0,تحرک_مثبت,1,2,20,410,8202,4,159,638,251,7564,13.0,1405-06-04,11:36:25,10,2,6,0,8,3.3333333333333335,6.0,2.0,2.3636363636363638,0.6666666666666666,3,3,-1,2.0,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ
32845891587040106,ثنوسا,5,5,3,2,1,0,9490,2.93,2.93,صف خرید,0,0,79,12.19,1329, حجم کم,35 %,32 % ,133 % ,249 % ,9898286,70,48213,انبوه سازي، املاك و مستغلات,فروش  متوسط rsi,0,0,تحرک_مثبت,0,1,9,345,3108,7,197,1382,148,1726,2.0,1405-06-04,12:17:06,5,5,3,2,0,0.8333333333333334,1.0,1.0,2.1666666666666665,1.1666666666666667,0,3,-3,0.3999999999999998,ﯽﺜﻨﺧ
23374429962331387,كتوسعه,5,2,1,0,0,0,19090,2.25,2.84,مثبت,0,0,88,9.55,833,حجم زیاد2.81برابر,281 %,93 % ,75 % ,151 % ,1111324,14,8505,استخراج ساير معادن,فروش  قوی rsi,0,0,تحرک_منفی,0,0,8,139,1116,5,144,724,-5,392,-2.0,1405-06-04,10:39:28,5,2,1,0,3,1.6666666666666667,1.0,0.0,1.0,0.6666666666666666,2,2,-3,0.8999999999999998,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
71666521540545716,غبهار,21,19,7,6,0,1,4200,1.45,1.45,مثبت,0,0,83,1.32,-416,حجم زیاد2.04برابر,204 %,565 % ,66 % ,299 % ,11119458,42,110444,محصولات غذايي و آشاميدني به جز قند و شكر,فروش  متوسط,0,0,تحرک_مثبت,0,4,30,199,5986,23,195,4501,4,1485,1.0,1405-06-04,12:30:30,21,19,7,6,2,1.05,1.0,0.0,1.2727272727272727,1.5,1,0,-3,-0.10000000000000006,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
43374709930371268,دحاوي,0,0,0,0,0,0,3790,2.99,0.54,صف خرید,0,0,98,13.0,0,حجم متوسط1.1برابر,110 %,599 % ,73 % ,241 % ,251352,43,-98707,مواد و محصولات دارويي,فروش  قوی rsi,0,0,تحرک_مثبت,0,1,0,0,0,0,0,0,0,0,0.0,1405-06-04,8:48:28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-3,-0.5000000000000001,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
14258394084745667,سمتاز,0,5,0,1,0,0,55520,1.09,2.91,مثبت,0,0,56,0.72,-722,حجم متوسط1.86برابر,186 %,178 % ,40 % ,96 % ,471001,53,-4902,سيمان، آهك و گچ,فروش  ضعیف,0,0,تحرک_منفی,0,3,0,0,0,5,157,787,-157,-787,-0.5,1405-06-04,11:28:27,0,5,0,1,-5,0.0,0.0,0.0,0.0,1.0,0,0,-1,-0.2,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
10114441830266109,گدنا,26,8,9,2,0,0,7020,2.78,2.34,مثبت,0,0,80,3.27,1196,حجم متوسط1.52برابر,152 %,63 % ,132 % ,207 % ,21240392,55,6675,هتل و رستوران,فروش  قوی rsi,0,0,تحرک_مثبت,0,1,41,169,6946,14,160,2243,9,4703,0.0,1405-06-04,12:30:56,26,8,9,2,18,2.888888888888889,3.0,0.0,1.2962962962962963,1.1111111111111112,3,3,-3,1.6,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ
13386281759834677,رانيز,54,1,20,0,2,0,19610,1.13,1.75,مثبت,0,2,66,11.27,-5807,حجم متوسط1.15برابر,115 %,117 % ,125 % ,160 % ,33797174,34,214831,خودرو و ساخت قطعات,خرید  متوسط,0,0,تحرک_منفی,4,0,142,181,25709,20,122,2440,59,23269,9.0,1405-06-04,12:29:47,54,1,20,0,53,27.0,20.0,2.0,1.5272727272727273,0.5,3,0,-1,1.1000000000000003,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
14073782708315535,شنفت,37,82,13,27,0,3,14940,0.27,0.13,مثبت,0,0,77,0.51,3907,حجم متوسط1.83برابر,183 %,297 % ,346 % ,770 % ,21037271,23,681694,فراورده هاي نفتي، كك و سوخت هسته اي,فروش  متوسط,0,0,تحرک_مثبت,0,4,70,182,12792,143,192,27488,-10,-14696,-3.0,1405-06-04,12:30:28,37,82,13,27,-45,0.4457831325301205,0.4642857142857143,0.0,1.3157894736842106,1.4939759036144578,0,3,-3,0.2999999999999998,ﯽﺜﻨﺧ
23175320865252772,وسالت,5,6,1,1,0,1,3640,1.96,1.96,صف خرید,0,0,57,2.25,648,حجم متوسط1.32برابر,132 %,80 % ,93 % ,241 % ,7596074,57,551430,بانكها و موسسات اعتباري,فروش  ضعیف,0,0,تحرک_مثبت,0,4,7,219,1533,6,180,1084,39,449,6.5,1405-06-04,11:17:57,5,6,1,1,-1,0.7142857142857143,0.5,0.0,1.0,1.7142857142857142,0,2,-1,0.5,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
